,Original ,CDR before attack,,,,,,,Attack Method,Model accuracy After Attack,CDR After Attack,,,,,,
Net,Original Accuracy[%],FLP, 1-LRBP, 5-LRBP, 10-LRBP,8bit int,8bit uint,Attack Content,FMLA /HLMA/HBLA,,FLP, 1-LRBP, 5-LRBP, 10-LRBP,8bit int,8bit uint,Fmla-end to start
Resnet101,75.84,4.354,75.84,75.84,75.842,75.844,,Ransomware(exe),23 bits,6.058,4.15,6.058,6.058,6.06,6.052,,
VGG19,74.218,47.89,70.134,70.134,70.136,70.108,,,FMLA,55.828,50.826,55.828,55.828,55.828,55.832,,
VGG16,69.858,52.68,69.858,69.858,69.858,69.818,,,FMLA,61.856,49.132,61.856,61.856,61.856,61.846,,
Alexanet,,,,,,,,,FMLA,,,,,,,,
Inception,70.062,0.252,70.082,70.082,70.08,70.086,,,FMLA,32.936,0.218,32.936,32.936,32.94,32.944,,
Resnet50,74.67,6.66,74.67,74.67,74.668,74.644,,,FMLA,3.942,6.176,3.942,3.942,3.944,3.938,,
GoogleNet,,,,,,,,,FMLA,,,,,,,,
Resnet18,71.878,13.1179999,67.876,67.876,67.882,71.838,,,FMLA,10.278,11.142,10.278,10.278,10.278,10.336,,
Mobilenet,72.028,0.116,72.028,72.028,72.034,72.02199,,,FMLA,0.084,0.078,0.084,0.084,0.086,0.084,,67.9
Squeeznet,,,,,,,,,FMLA,,,,,,,,
Resnet101,75.84,4.354,75.84,75.84,75.842,75.844,,,12 bits,75.846,2.044,75.846,75.846,75.844,75.85,,
VGG19,74.218,47.89,70.134,70.134,70.136,70.108,,,HLMA,70.14,56.568,70.14,70.14,70.136,70.138,,
VGG16,69.858,52.68,69.858,69.858,69.858,69.818,,,HLMA,69.848,46.534,69.848,69.848,69.854,69.84,,
Alexanet,,,,,,,,,HLMA,,,,,,,,
Inception,70.062,0.252,70.082,70.082,70.08,70.086,,,HLMA,70.07,0.414,70.07,70.07,70.062,70.072,,
Resnet50,74.67,6.66,74.67,74.67,74.668,74.644,,,HLMA,74.676,8.832,74.676,74.676,74.674,74.636,,
GoogleNet,,,,,,,,,HLMA,,,,,,,,
Resnet18,71.878,13.1179999,67.876,67.876,67.882,71.838,,,HLMA,67.874,12.204,67.874,67.874,67.876,67.88,,
Mobilenet,72.028,0.116,72.028,72.028,72.034,72.02199,,,HLMA,72.04,0.106,72.04,72.04,72.036,72.022,,
Squeeznet,,,,,,,,,HLMA,,,,,,,,
Resnet101,75.84,4.354,75.84,75.84,75.842,75.844,,vbs,4 bits,75.84,1.366,75.84,75.84,75.842,75.842,,
VGG19,74.218,47.89,70.134,70.134,70.136,70.108,,,HBLA,70.134,47.902,70.134,70.134,70.134,70.112,,
VGG16,69.858,52.68,69.858,69.858,69.858,69.818,,,HBLA,69.858,47.462,69.858,69.858,69.858,69.838,,
Alexanet,,,,,,,,,HBLA,,,,,,,,
Inception,70.062,0.252,70.082,70.082,70.08,70.086,,,HBLA,70.082,0.228,70.082,70.082,70.076,70.086,,
Resnet50,74.67,6.66,74.67,74.67,74.668,74.644,,,HBLA,74.67,5.114,74.67,74.67,74.67,74.644,,
GoogleNet,,,,,,,,,HBLA,,,,,,,,
Resnet18,67.876,13.1179999,67.876,67.876,67.882,67.884,,,HBLA,67.876,13.786,67.876,67.876,67.876,67.884,,
Mobilenet,72.028,0.116,72.028,72.028,72.034,72.02199,,,HBLA,72.028,0.114,72.028,72.03,72.032,72.022,,
Squeeznet,,,,,,,,,HBLA,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Attack Content,FMLA /HLMA/HBLA,,Attack Content,FMLA /HLMA/HBLA,,,,,
,,,,,,,Resnet101,Ransomware(exe),23 bits,6.058,vbs,23 bits,56.42,,,,
,,,,,,,VGG19,,FMLA,55.828,,FMLA,64.274,,,,
,,,,,,,VGG16,,FMLA,61.856,,FMLA,63.502,,,,
,,,,,,,Alexanet,,FMLA,,,FMLA,,,,,
,,,,,,,Inception,,FMLA,32.936,,FMLA,62.838,,,,
,,,,,,,Resnet50,,FMLA,3.942,,FMLA,54.722,,,,
,,,,,,,GoogleNet,,FMLA,,,FMLA,,,,,
,,,,,,,Resnet18,,FMLA,10.278,,FMLA,46.536,,,,
,,,,,,,Mobilenet,,FMLA,0.084,,FMLA,0.132,,,,
,,,,,,,Squeeznet,,FMLA,,,FMLA,,,,,
,,,,,,,Resnet101,,12 bits,75.846,,12 bits,75.848,,,,
,,,,,,,VGG19,,HLMA,70.14,,HLMA,70.136,,,,
,,,,,,,VGG16,,HLMA,69.848,,HLMA,69.852,,,,
,,,,,,,Alexanet,,HLMA,,,HLMA,,,,,
,,,,,,,Inception,,HLMA,70.07,,HLMA,70.068,,,,
,,,,,,,Resnet50,,HLMA,74.676,,HLMA,74.674,,,,
,,,,,,,GoogleNet,,HLMA,,,HLMA,,,,,
,,,,,,,Resnet18,,HLMA,67.874,,HLMA,67.882,,,,
,,,,,,,Mobilenet,,HLMA,72.04,,HLMA,72.022,,,,
,,,,,,,Squeeznet,,HLMA,,,HLMA,,,,,
,,,,,,,Resnet101,,4 bits,75.84,,4 bits,75.84,,,,
,,,,,,,VGG19,,HBLA,70.134,,HBLA,70.134,,,,
,,,,,,,VGG16,,HBLA,69.858,,HBLA,69.858,,,,
,,,,,,,Alexanet,,HBLA,,,HBLA,,,,,
,,,,,,,Inception,,HBLA,70.082,,HBLA,70.082,,,,
,,,,,,,Resnet50,,HBLA,74.67,,HBLA,74.67,,,,
,,,,,,,GoogleNet,,HBLA,,,HBLA,,,,,
,,,,,,,Resnet18,,HBLA,67.876,,HBLA,67.876,,,,
,,,,,,,Mobilenet,,HBLA,72.028,,HBLA,72.028,,,,
,,,,,,,Squeeznet,,HBLA,,,HBLA,,,,,
